0
"Link(url='https://www.pewresearch.org', text='Home', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/4/', text='Page4', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/5/', text='Page5', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/6/', text='Page6', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/7/', text='Page7', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/8/', text='Page8', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/9/', text='Page9', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/10/', text='Page10', fragment='', nofollow=False)"
"Link(url='https://www.pewinternet.org/', text='Internet & Technology', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/science/', text='Science & Society', fragment='', nofollow=False)"
"Link(url='https://www.pewhispanic.org/', text='Hispanic Trends', fragment='', nofollow=False)"
"Link(url='https://www.pewglobal.org/', text='Global Attitudes & Trends', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/methods/', text='Methods', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/follow-pew-research-center/', text=' Email Newsletters', fragment='', nofollow=False)"
"Link(url='https://www.facebook.com/pewresearch', text=' Facebook', fragment='', nofollow=False)"
"Link(url='https://twitter.com/pewresearch', text=' Twitter', fragment='', nofollow=False)"
"Link(url='http://pewresearch.tumblr.com/', text=' Tumblr', fragment='', nofollow=False)"
"Link(url='http://www.youtube.com/user/PewResearchCenter/featured', text=' YouTube', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/feed/', text=' RSS', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/about/', text='About Pew Research Center', fragment='', nofollow=False)"
"Link(url='http://www.pewtrusts.org/', text='The Pew Charitable Trusts', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/study/', text='click here', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/terms-and-conditions/', text='Terms & Conditions', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/privacy-policy/', text='Privacy Policy', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/about/use-policy/', text='Reprints, Permissions & Use Policy', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/contact-form/', text='Feedback', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/about/careers/', text='Careers', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/fact-sheet/network-news/', text='Network News Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/fact-sheet/cable-news/', text='Cable News Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2019/07/23/public-broadcasting-fact-sheet-2/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2019/07/23/digital-news-fact-sheet/', text='Digital News Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/fact-sheet/public-broadcasting/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/fact-sheet/digital-news/', text='Digital News Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/fact-sheet/audio-and-podcasting/', text='Audio and Podcasting Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/fact-sheet/newspapers/', text='Newspapers Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/2/', text='Page2', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/3/', text='Page3', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/internet/fact-sheet/mobile/', text='Mobile Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/internet/fact-sheet/internet-broadband/', text='Internet/Broadband Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/internet/fact-sheet/social-media/', text='Social Media Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/fact-sheet/local-tv-news/', text='Local TV News Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/fact-sheet/hispanic-and-black-news-media/', text='Hispanic and Black News Media Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/fact-sheet/hispanic-and-african-american-news-media/', text='Hispanic and African American News Media Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-vietnamese-in-the-u-s-fact-sheet/', text='Vietnamese in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/', text='← Prev Page', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-hmong-in-the-u-s/', text='Hmong in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-pakistanis-in-the-u-s', text='Pakistanis in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/u-s-hispanics-facts-on-mexican-origin-latinos/', text='Facts on Hispanics of Mexican origin in the United States, 2017', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/u-s-hispanics-facts-on-honduran-origin-latinos/', text='Facts on Hispanics of Honduran origin in the United States, 2017', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/u-s-hispanics-facts-on-guatemalan-origin-latinos/', text='Facts on Hispanics of Guatemalan origin in the United States, 2017', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/u-s-hispanics-facts-on-ecuadorian-origin-latinos/', text='Facts on Hispanics of Ecuadorian origin in the United States, 2017', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/u-s-hispanics-facts-on-cuban-origin-latinos/', text='Facts on Hispanics of Cuban origin in the United States, 2017', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/u-s-hispanics-facts-on-dominican-origin-latinos/', text='Facts on Hispanics of Dominican origin in the United States, 2017', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/u-s-hispanics-facts-on-colombian-origin-latinos/', text='Facts on Hispanics of Colombian origin in the United States, 2017', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/u-s-hispanics-facts-on-argentine-origin-latinos/', text='Facts on Hispanics of Argentine origin in the United States, 2017', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/u-s-hispanics-facts-on-spanish-origin-latinos/', text='Facts on Hispanics with origins from Spain in the United States, 2017', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/8/', text='← Prev Page', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/u-s-hispanics-facts-on-venezuelan-origin-latinos/', text='Facts on Hispanics of Venezuelan origin in the United States, 2017', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/u-s-hispanics-facts-on-peruvian-origin-latinos/', text='Facts on Hispanics of Peruvian origin in the United States, 2017', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2019/06/25/archived-state-of-the-news-media-reports/', text='Previous State of the News Media reports', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-chinese-in-the-u-s', text='Chinese in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/internet/fact-sheets/mobile/', text='Mobile Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/internet/fact-sheets/internet-broadband/', text='Internet/Broadband Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/latinos-in-the-u-s-fact-sheet/', text='Facts on Latinos in the U.S.', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2016/06/15/alternative-weeklies-fact-sheet/', text='Alternative Weeklies: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/global/2019/11/13/el-total-de-inmigrantes-no-autorizados-en-europa-alcanza-su-punto-maximo-en-2016-y-despues-se-estabiliza/', text='El total de inmigrantes no autorizados en Europa alcanza su punto máximo en 2016 y después se estabiliza', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/global/2019/11/13/la-population-dimmigrants-non-autorises-en-europe-se-stabilise-apres-avoir-atteint-un-pic-en-2016/', text='La population d’immigrants non autorisés en Europe se stabilise après avoir atteint un pic en 2016', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/global/2019/11/13/il-totale-di-immigrati-non-autorizzati-in-europa-ha-raggiunto-un-picco-nel-2016-per-poi-stabilizzarsi/', text='Il totale di immigrati non autorizzati in Europa ha raggiunto un picco nel 2016 per poi stabilizzarsi', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/fact-tank/2019/09/20/in-1965-majority-of-americans-favored-immigration-and-nationality-act-2/', text='From the archives: In ’60s, Americans gave thumbs-up to immigration law that changed the nation', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/fact-tank/2019/02/01/4-paths-highly-educated-immigrants-take-to-study-and-work-in-the-u-s/', text='4 paths highly educated immigrants take to study and work in the U.S.', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/fact-tank/2017/11/20/new-us-foreign-student-enrollment-doubled-since-great-recession/', text='New foreign student enrollment at U.S. colleges and universities doubled since Great Recession', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/global/fact-sheet/foreign-students-in-the-u-s/', text='Facts on Foreign Students in the U.S.', fragment='', nofollow=False)"
"Link(url='https://www.pewforum.org/2017/08/08/gay-marriage-around-the-world-2013/', text='Gay Marriage Around the World', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2016/06/15/african-american-media-fact-sheet/', text='African American News Media: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-filipinos-in-the-u-s/', text='Filipinos in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-chinese-in-the-u-s/', text='Chinese in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-cambodians-in-the-u-s/', text='Cambodians in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-burmese-in-the-u-s/', text='Burmese in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-bhutanese-in-the-u-s/', text='Bhutanese in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-bangladeshis-in-the-u-s/', text='Bangladeshis in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-sri-lankans-in-the-u-s/', text='Sri Lankans in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-vietnamese-in-the-u-s', text='Vietnamese in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-hmong-in-the-u-s', text='Hmong in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/3/', text='← Prev Page', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2015/04/29/newspapers-fact-sheet-2015/', text='Newspapers: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2018/05/16/en-europa-occidental-las-actitudes-del-publico-con-respecto-a-los-medios-informativos-se-encuentran-mas-divididas-por-las-opiniones-populistas-que-por-las-ideologias-de-derechas-o-de-izquierdas/', text='En Europa Occidental, las actitudes del público con respecto a los medios informativos se encuentran más divididas por las opiniones populistas que por las ideologías de derechas o de izquierdas', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2015/04/29/african-american-media-fact-sheet-2015/', text='African-American Media: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-nepalese-in-the-u-s', text='Nepalese in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-mongolians-in-the-u-s', text='Mongolians in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-malaysians-in-the-u-s', text='Malaysians in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-laotians-in-the-u-s', text='Laotians in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-koreans-in-the-u-s', text='Koreans in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-japanese-in-the-u-s', text='Japanese in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-indonesians-in-the-u-s', text='Indonesians in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-indians-in-the-u-s', text='Indians in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-filipinos-in-the-u-s', text='Filipinos in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/4/', text='← Prev Page', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2016/06/15/hispanic-media-fact-sheet/', text='Hispanic News Media: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2016/06/15/digital-news-audience-fact-sheet/', text='Digital News Audience: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2016/06/15/local-tv-news-fact-sheet/', text='Local TV News: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2016/06/15/digital-news-revenue-fact-sheet/', text='Digital News Revenue: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2019/07/23/state-of-the-news-media-methodology/', text='State of the News Media Methodology', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/9/', text='← Prev Page', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/11/', text='Page11', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/12/', text='Page12', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/13/', text='Page13', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/14/', text='Page14', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/15/', text='Page15', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-cambodians-in-the-u-s', text='Cambodians in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-burmese-in-the-u-s', text='Burmese in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-bhutanese-in-the-u-s', text='Bhutanese in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-bangladeshis-in-the-u-s', text='Bangladeshis in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/fact-sheet/asian-americans-sri-lankans-in-the-u-s', text='Sri Lankans in the U.S. Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewsocialtrends.org/2017/09/08/methodology-asian-american-fact-sheets/', text='Methodology: Asian American Fact Sheets', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/global/fact-sheet/news-media-and-political-attitudes-in-the-united-kingdom/', text='Fact Sheets: News Media and Political Attitudes in Western Europe', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/global/2018/05/17/fact-sheets-news-media-and-political-attitudes-in-western-europe/', text='Fact Sheets: News Media and Political Attitudes in Western Europe', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/5/', text='← Prev Page', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2016/06/15/cable-news-fact-sheet/', text='Cable News: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2016/06/15/newspapers-fact-sheet/', text='Newspapers: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2016/06/15/public-broadcasting-fact-sheet/', text='Public Broadcasting: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/6/', text='← Prev Page', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2015/04/29/public-broadcasting-fact-sheet-2015/', text='Public Broadcasting: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2015/04/29/news-magazines-fact-sheet-2015/', text='News Magazines: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/11/', text='← Prev Page', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/16/', text='Page16', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/17/', text='Page17', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/global/2019/11/13/summary-of-findings-europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/', text='Summary of findings: Europe’s Unauthorized Immigrant Population Peaks in 2016, Then Levels Off', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/2016-state-election-fact-sheets/', text='2016 State Election Fact Sheets', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/hispanic/fact-sheets/2016-state-election-fact-sheets/', text='2016 State Election Fact Sheets', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/fact-tank/2019/09/16/key-facts-about-u-s-hispanics/', text='Key facts about U.S. Hispanics and their diverse heritage', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/fact-tank/2019/07/23/key-takeaways-state-of-the-news-media-2018/', text='5 key takeaways about the state of the news media in 2018', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/fact-tank/2019/05/22/key-facts-about-asian-origin-groups-in-the-u-s/', text='Key facts about Asian origin groups in the U.S.', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/topics/asian-americans/', text='Asian Americans: A Diverse and Growing Population', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/fact-tank/2018/10/02/trump-has-appointed-a-larger-share-of-female-judges-than-other-gop-presidents-but-lags-obama/', text='Trump has appointed a larger share of female judges than other GOP presidents, but lags Obama', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/global/2019/11/13/europas-anzahl-an-nicht-autorisierten-migranten-erreicht-spitzenwert-im-jahr-2016-und-pendelt-sich-dann-ein/', text='Europas Anzahl an nicht-autorisierten Migranten erreicht Spitzenwert im Jahr 2016 und pendelt sich dann ein', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/10/', text='← Prev Page', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2015/04/29/podcasting-fact-sheet-2015/', text='Podcasting: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2015/04/29/alternative-weeklies-fact-sheet-2015/', text='Alternative Weeklies: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2015/04/29/hispanic-media-fact-sheet-2015/', text='Hispanic Media: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2015/04/29/cable-news-fact-sheet-2015/', text='Cable News: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2015/04/29/network-news-fact-sheet-2015/', text='Network News: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2015/04/29/audio-fact-sheet-2015/', text='Audio: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/fact-tank/2017/06/01/circulation-and-revenue-fall-for-newspaper-industry/', text='Despite subscription surges for largest U.S. newspapers, circulation and revenue fall for industry overall', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/fact-tank/2018/08/21/5-facts-about-the-state-of-the-news-media-in-2017/', text='5 facts about the state of the news media in 2017', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2015/04/29/digital-news-revenue-fact-sheet-2015/', text='Digital News — Revenue: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/12/', text='← Prev Page', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/18/', text='Page18', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2018/05/16/in-europa-occidentale-latteggiamento-del-pubblico-nei-confronti-dei-mezzi-di-informazione-e-piu-diviso-da-opinioni-populiste-che-da-ideologie-di-destra-o-di-sinistra/', text='In Europa occidentale, l’atteggiamento del pubblico nei confronti dei mezzi di informazione è più diviso da opinioni populiste che da ideologie di destra o di sinistra', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/fact-tank/2017/09/08/key-facts-about-asian-americans/', text='Key facts about Asian Americans, a diverse and growing population', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/fact-tank/2016/09/08/key-facts-about-how-the-u-s-hispanic-population-is-changing/', text='Key facts about how the U.S. Hispanic population is changing', fragment='', nofollow=False)"
"Link(url='https://www.pewforum.org/fact-sheet/gay-marriage-around-the-world/', text='Same-Sex Marriage Around the World', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/2014-state-election-fact-sheets/', text='2014 State Election Fact Sheets', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/fact-tank/2017/01/12/evolution-of-technology/', text='Record shares of Americans now own smartphones, have home broadband', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/hispanic/fact-sheets/2014-state-election-fact-sheets/', text='2014 State Election Fact Sheets', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/global/2018/05/10/number-of-foreign-college-students-staying-and-working-in-u-s-after-graduation-surges/', text='Number of Foreign College Students Staying and Working in U.S. After Graduation Surges', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2016/06/15/state-of-the-news-media-2016/', text='State of the News Media 2016', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/14/', text='← Prev Page', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/19/', text='Page19', fragment='', nofollow=False)"
"Link(url='https://www.pewresearch.org/search/fact+sheet/page/20/', text='Page20', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2015/04/29/digital-news-audience-fact-sheet-2015/', text='Digital News — Audience: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2015/04/29/local-tv-news-fact-sheet-2015/', text='Local TV News: Fact Sheet', fragment='', nofollow=False)"
"Link(url='https://www.journalism.org/2016/06/15/state-of-the-news-media-2016-acknowledgments/', text='Acknowledgments', fragment='', nofollow=False)"
